Index	Description	nuclei....in.nuclei	nuclei....in.green	nuclei....in.red	nuclei....in.black	Main.nuclei.total_intensity_DCP1A_P.bodies.Mean	Main.nuclei.mean_intensity_DCP1A_P.bodies.Mean	Main.nuclei.total_intensity_DCP1A_P.bodies.nuc.Mean	Main.nuclei.mean_intensity_DCP1A_P.bodies.nuc.Mean	Main.nuclei.total_intensity_DCP1A_cytoplasm.Mean	Main.nuclei.mean_intensity_DCP1A_cytoplasm.Mean	Main.nuclei.total_intensity_P.bodies_all.Mean	Main.nuclei.mean_intensity_P.bodies_all.Mean	Main.nuclei.P.bodies_count.Mean	Main.nuclei.P.bodies.nuc_count.Mean	Main.green.total_intensity_DCP1A_P.bodies.Mean	Main.green.mean_intensity_DCP1A_P.bodies.Mean	Main.green.total_intensity_DCP1A_P.bodies.nuc.Mean	Main.green.mean_intensity_DCP1A_P.bodies.nuc.Mean	Main.green.total_intensity_DCP1A_cytoplasm.Mean	Main.green.mean_intensity_DCP1A_cytoplasm.Mean	Main.green.total_intensity_P.bodies_all.Mean	Main.green.mean_intensity_P.bodies_all.Mean	Main.green.P.bodies_count.Mean	Main.green.P.bodies.nuc_count.Mean	Main.red.total_intensity_DCP1A_P.bodies.Mean	Main.red.mean_intensity_DCP1A_P.bodies.Mean	Main.red.total_intensity_DCP1A_P.bodies.nuc.Mean	Main.red.mean_intensity_DCP1A_P.bodies.nuc.Mean	Main.red.total_intensity_DCP1A_cytoplasm.Mean	Main.red.mean_intensity_DCP1A_cytoplasm.Mean	Main.red.total_intensity_P.bodies_all.Mean	Main.red.mean_intensity_P.bodies_all.Mean	Main.red.P.bodies_count.Mean	Main.red.P.bodies.nuc_count.Mean	Main.black.total_intensity_DCP1A_P.bodies.Mean	Main.black.mean_intensity_DCP1A_P.bodies.Mean	Main.black.total_intensity_DCP1A_P.bodies.nuc.Mean	Main.black.mean_intensity_DCP1A_P.bodies.nuc.Mean	Main.black.total_intensity_DCP1A_cytoplasm.Mean	Main.black.mean_intensity_DCP1A_cytoplasm.Mean	Main.black.total_intensity_P.bodies_all.Mean	Main.black.mean_intensity_P.bodies_all.Mean	Main.black.P.bodies_count.Mean	Main.black.P.bodies.nuc_count.Mean	X
186	H18	445	261	169	11	2793	169.2	1400	17.91	120100	44.15	4193	103.4	0.8	0.9888	1280	74.61	2051	25.41	146500	52.47	3331	50.56	0.4789	1.169	4877	302.8	481.2	7.444	83540	32.65	5358	172.3	1.308	0.6982	5474	300.5	497.5	5.072	53330	25.89	5971	213.1	0.5455	1.273	NA
187	H19	681	213	364	53	1743	86.87	729.7	9.313	73870	32.06	2473	49.32	0.5844	1.01	1501	82.44	1272	16.32	96620	43.45	2773	54.34	0.5493	1.131	1991	96.87	404.5	5.405	65710	27.37	2396	50.51	0.6511	0.9313	583.6	62.01	774.2	8.796	40020	19.12	1358	30.29	0.2075	1.189	NA
188	H20	591	292	267	18	3837	237.4	1289	18.64	85880	37.31	5126	118.3	1.003	1.039	2419	169.4	1819	25.18	107200	43.07	4238	88.05	0.6404	1.072	5139	302.2	801	12.81	62780	31.53	5940	146.1	1.367	1	9602	481.2	477.6	7.201	95870	36.73	10080	243.7	2	1.111	NA
189	H21	644	388	234	9	473.8	31.48	1487	17.76	102300	44.55	1961	27.16	0.1957	1.118	395	21.93	2133	25.4	120800	49.66	2528	30.87	0.1546	1.168	619.7	46.41	486.9	6.016	77220	37.53	1107	21.67	0.265	1.026	453.9	56.4	408.2	7.008	56060	23.33	862.1	15.31	0.2222	1.222	NA
190	H22	549	109	238	170	6998	331.2	648.3	7.821	77670	33.72	7647	142.6	1.328	1.237	7631	351.7	992.9	10.38	113600	49.34	8624	141.4	1.495	1.422	10430	460	601.7	8.108	88160	38.34	11030	200.6	1.962	1.059	2435	163.9	518.5	6.02	44580	19.3	2954	70.09	0.4294	1.371	NA
191	H23	846	384	424	26	6095	318.3	1290	16.29	79320	50.08	7386	141.3	1.507	1.122	3342	197.8	1970	25.35	84160	50.92	5312	95.93	0.9297	1.156	8274	413.7	734.5	8.864	76520	50.08	9008	178.1	2.002	1.08	9648	475	566.1	6.702	59300	39.1	10210	210.9	2	1.269	NA
192	H24	687	225	304	55	129	10.41	797.8	10.92	30930	13.34	926.8	13.65	0.01892	0.8894	88.28	7.52	1657	23	56270	22.88	1745	25.36	0.02667	0.8933	141.1	16.07	292	3.81	13880	7.148	433	6.33	0.01974	0.9145	0	0	680.2	10.02	34230	15.22	680.2	10.02	0	0.8182	NA
193	I1	918	425	455	20	5555	282.6	1348	17.92	83590	50.36	6903	139.5	1.387	1.02	4185	209.4	2002	26.73	96950	56.35	6186	110	0.9812	1.094	6964	355.2	803	10.62	73060	45.93	7767	168.9	1.802	0.9495	4225	261.9	573.5	6.321	39580	27.83	4798	74.85	0.9	1.15	NA
194	I2	1075	467	556	35	6997	340.4	1050	14.68	103300	54.8	8047	161.7	1.685	1.031	4331	231.3	1755	24.01	125500	60.75	6086	113.1	1.206	1.113	9005	424.6	501.5	7.52	85510	51.07	9506	199.5	2.074	0.9586	11520	501.6	524.5	6.69	93650	39.63	12040	210.4	1.8	1.086	NA
195	I3	141	83	45	6	1389	59.3	1041	13.62	115400	41.16	2429	32.18	0.1844	0.9362	2016	66.43	1400	18.71	148300	52.07	3416	40.13	0.2651	0.9157	601.8	55.52	424.6	5.837	63000	23.34	1026	16.71	0.06667	0.8444	232.3	58.08	1104	7.982	82980	30.48	1337	66.07	0.1667	1.833	NA
196	I4	239	18	123	64	5124	246.6	636.1	8.267	96430	38.34	5760	91.87	1.314	1.163	1725	151.6	1616	22.34	189100	70.53	3341	71.68	0.9444	1.389	7786	332.2	570.7	7.499	107500	44.19	8356	129.2	1.959	1.041	1901	129.3	545.3	6.555	60660	23.36	2446	41.37	0.4062	1.219	NA
197	I5	338	162	152	8	6624	312.7	1210	16.33	156900	72.04	7835	167.5	1.902	0.9083	4896	253.9	1645	20.96	170700	72.95	6541	120.2	1.432	1.068	8643	388.6	793.5	11.59	140500	71.6	9437	224.7	2.368	0.7368	3657	164.3	242.4	3.828	64180	31.02	3899	106.5	1.75	0.75	NA
198	I6	463	213	224	16	4314	215.4	1205	16.81	114100	47.82	5519	129.6	0.959	1.065	1177	70.04	1768	23.92	133100	52.29	2944	49.16	0.3521	1.174	7394	361.6	716.9	10.5	100600	44.53	8111	208.3	1.567	0.9554	4077	140.6	426.9	5.757	78030	34.72	4504	95.94	0.6875	1.187	NA
199	I7	567	297	242	19	6090	296.6	1078	14.41	130000	52.36	7168	155.4	1.563	1.028	3147	194.6	1509	19.36	144600	58.26	4656	98.94	0.8148	1.131	10090	437.2	595.1	8.627	118100	47.62	10680	235.9	2.562	0.9008	2878	116.5	352.3	5.276	77120	28.77	3230	53.05	1.053	1.105	NA
200	I8	624	363	235	17	4305	276.5	1917	24.64	92530	43.09	6222	125	1.088	1.258	3729	263.3	2756	35.15	114700	53.03	6486	124.2	0.865	1.339	5008	282.1	756.9	10.02	61650	29.36	5765	124.7	1.43	1.132	7800	533.5	766	9.576	65330	30.93	8566	163.1	1.294	1.412	NA
201	I9	498	245	226	11	6258	254.5	1279	17.09	131100	55.18	7536	149.6	1.857	1	3706	169.9	1846	23.68	161400	64.25	5552	104.4	1.061	1.147	9267	351.3	748.7	11	102000	47.54	10020	199.4	2.77	0.8274	3537	264.9	307.5	5.184	93970	37.53	3844	237.9	1	0.7273	NA
202	I10	330	195	113	16	2932	185.1	1332	18.81	107300	50.27	4264	120.8	0.6636	0.8818	1787	127.1	1921	27.64	126000	59.45	3709	67.89	0.441	1.021	5343	305.2	508.2	6.261	86030	39.31	5851	227.1	1.115	0.646	808.1	85.2	365.1	4.776	45270	23.81	1173	55.2	0.375	0.875	NA
