Index	Description	nuclei....in.nuclei	nuclei....in.green	nuclei....in.red	nuclei....in.black	Main.nuclei.total_intensity_DCP1A_P.bodies.Mean	Main.nuclei.mean_intensity_DCP1A_P.bodies.Mean	Main.nuclei.total_intensity_DCP1A_P.bodies.nuc.Mean	Main.nuclei.mean_intensity_DCP1A_P.bodies.nuc.Mean	Main.nuclei.total_intensity_DCP1A_cytoplasm.Mean	Main.nuclei.mean_intensity_DCP1A_cytoplasm.Mean	Main.nuclei.total_intensity_P.bodies_all.Mean	Main.nuclei.mean_intensity_P.bodies_all.Mean	Main.nuclei.P.bodies_count.Mean	Main.nuclei.P.bodies.nuc_count.Mean	Main.green.total_intensity_DCP1A_P.bodies.Mean	Main.green.mean_intensity_DCP1A_P.bodies.Mean	Main.green.total_intensity_DCP1A_P.bodies.nuc.Mean	Main.green.mean_intensity_DCP1A_P.bodies.nuc.Mean	Main.green.total_intensity_DCP1A_cytoplasm.Mean	Main.green.mean_intensity_DCP1A_cytoplasm.Mean	Main.green.total_intensity_P.bodies_all.Mean	Main.green.mean_intensity_P.bodies_all.Mean	Main.green.P.bodies_count.Mean	Main.green.P.bodies.nuc_count.Mean	Main.red.total_intensity_DCP1A_P.bodies.Mean	Main.red.mean_intensity_DCP1A_P.bodies.Mean	Main.red.total_intensity_DCP1A_P.bodies.nuc.Mean	Main.red.mean_intensity_DCP1A_P.bodies.nuc.Mean	Main.red.total_intensity_DCP1A_cytoplasm.Mean	Main.red.mean_intensity_DCP1A_cytoplasm.Mean	Main.red.total_intensity_P.bodies_all.Mean	Main.red.mean_intensity_P.bodies_all.Mean	Main.red.P.bodies_count.Mean	Main.red.P.bodies.nuc_count.Mean	Main.black.total_intensity_DCP1A_P.bodies.Mean	Main.black.mean_intensity_DCP1A_P.bodies.Mean	Main.black.total_intensity_DCP1A_P.bodies.nuc.Mean	Main.black.mean_intensity_DCP1A_P.bodies.nuc.Mean	Main.black.total_intensity_DCP1A_cytoplasm.Mean	Main.black.mean_intensity_DCP1A_cytoplasm.Mean	Main.black.total_intensity_P.bodies_all.Mean	Main.black.mean_intensity_P.bodies_all.Mean	Main.black.P.bodies_count.Mean	Main.black.P.bodies.nuc_count.Mean	X
293	M5	290	190	85	6	4215	240.5	986.7	15.54	168900	66.25	5202	134	0.9966	0.9759	2856	167.3	1214	18.56	177100	66.88	4070	83.4	0.7421	1.011	7609	415.4	565.1	10.46	167900	68.47	8174	244.4	1.576	0.8824	2386	281.3	413.5	5.088	51660	26.02	2799	267.1	0.5	1.333	NA
294	M6	69	47	8	9	3384	248.6	1298	14.16	113700	51.21	4682	100	0.8551	1.319	2515	207.8	1524	17.23	132200	58.85	4039	94.17	0.7872	1.447	7475	216.4	731	6.02	127800	48.18	8206	110.5	1.25	0.625	4403	439.5	854.6	7.149	51080	24.39	5257	154	0.6667	1.444	NA
295	M7	229	141	82	0	2013	117.4	1196	14.81	131700	53.31	3208	77.22	0.6463	1.009	1246	88.17	1611	19.89	153500	60.72	2857	70.71	0.4397	1.071	3470	174.9	549.2	6.871	101400	42.42	4019	92.35	1.037	0.939	0	0	0	0	0	0	0	0	0	0	NA
296	M8	257	149	101	1	5105	285.3	1975	24.06	189000	77.35	7080	140.8	1.339	1.062	4467	233.7	2735	31.97	223700	87.73	7203	117.1	1.208	1.154	6171	371.3	968.7	13.82	126300	58.56	7139	180.5	1.554	0.9604	0	0	0	0	18220	19.46	0	0	0	0	NA
297	M9	69	34	29	0	4683	291.1	1350	20.01	194700	83.37	6034	147.7	1.188	0.942	3093	198	1797	26.86	207200	89.41	4890	91.82	0.9412	1.029	7009	432.8	875.7	12.65	170100	72.5	7885	228.3	1.448	0.8276	0	0	0	0	0	0	0	0	0	0	NA
298	M10	71	39	24	1	5208	327.8	959.5	12.99	162000	66.96	6167	207	1.352	0.7042	6068	344.6	1374	18.76	197900	77.35	7442	260.9	1.615	0.6154	4649	337.6	530.7	6.107	97810	46.47	5180	125.8	1.083	0.875	2641	660.2	0	0	78880	29.26	2641	660.2	1	0	NA
299	M11	195	82	97	9	3809	245	828.4	11.11	130400	51.61	4637	140.2	1.015	0.8923	3300	210.5	1367	18.63	155000	61.97	4666	132.5	0.6341	0.9634	4468	272.8	426.2	5.776	114900	45.7	4894	163.1	1.381	0.7629	1802	163.8	347	4.602	75590	31.43	2149	35.6	0.6667	0.7778	NA
300	M12	470	236	199	15	6013	337.3	1191	15.93	115600	42.74	7204	155.4	1.287	0.9489	3199	207	1797	24.12	154500	53.2	4996	93.73	0.7881	0.9746	9938	510.6	520.7	6.99	81300	34.13	10460	239.8	2.01	0.8844	345.1	50.71	461.5	8.46	48980	21.07	806.6	14	0.2	1.067	NA
301	M13	10	8	2	0	956.8	78.82	1731	21.92	229300	102.4	2688	63.8	0.5	1	1196	98.53	1771	22.48	233600	106.9	2967	74.82	0.625	0.75	0	0	1572	19.72	212000	84.42	1572	19.72	0	2	0	0	0	0	0	0	0	0	0	0	NA
302	M14	338	137	183	8	5487	306.9	1302	18.49	151300	64.17	6789	180.4	1.308	0.8343	3368	228.3	2200	33.47	201000	78.22	5568	125.1	0.708	0.9197	7412	386.6	620	7.807	118000	54.71	8032	233.9	1.792	0.7322	925.1	51.4	536.5	7.25	62520	28.62	1462	24.39	0.5	1.5	NA
303	M15	14	12	1	0	536.2	25.94	1849	12.97	228700	69.58	2385	15.82	0.3571	2.357	547.7	22.47	1368	12.17	204200	64.7	1915	15.32	0.3333	1.917	0	0	523	6.62	244300	68.57	523	6.62	0	2	0	0	0	0	0	0	0	0	0	0	NA
304	M16	515	345	166	0	7848	415.8	1940	24.65	121400	54.31	9788	180.4	1.507	1.252	6663	384.8	2416	31.59	142400	59.73	9079	175.6	1.241	1.258	10160	481.1	981.5	10.55	78900	43.5	11140	192.1	2.054	1.229	0	0	0	0	0	0	0	0	0	0	NA
305	M17	289	155	122	2	5357	282.1	1074	14.28	158500	67.49	6432	153.9	1.488	0.9273	3381	225.3	1387	19.09	185400	76.28	4768	122.8	0.929	1	7359	344.4	708.8	9.002	123700	55.31	8068	191.8	2.131	0.8197	0	0	0	0	70780	47.03	0	0	0	0	NA
306	M18	286	177	101	4	2159	155.3	2479	33.22	153700	59.39	4638	92.98	0.5734	1.224	1438	97.06	3343	40.7	195500	71.79	4781	76.94	0.3842	1.294	3051	241.5	1116	21.77	88720	39.25	4167	116.2	0.8317	1.109	4607	237.9	902.2	17.37	23680	14.74	5510	83.23	1	1.5	NA
307	M19	291	130	149	8	5061	297.7	1292	14.86	124500	47.8	6353	145.1	1.278	1.003	3182	240.7	2260	25.76	169000	61.61	5442	104.5	0.7692	1.131	6980	357.9	419.6	5.436	88410	36.95	7400	187.6	1.758	0.8725	1817	141.8	693.2	8.072	97270	32.36	2510	63.1	1	1.125	NA
308	M20	411	251	152	7	5529	292.1	1566	21.03	138000	61.22	7095	148.1	1.241	1.071	3870	233.8	2126	29.05	164200	69.14	5995	110.9	0.9482	1.167	8033	386	705.8	8.605	93730	47.97	8738	207.5	1.664	0.9145	11210	369.6	332.6	5.372	94890	40.04	11540	207.1	2.429	1	NA
309	M21	264	32	119	90	4845	241.1	612.8	7.664	91510	36.19	5458	91.99	1.038	1.129	3534	282.3	595.6	6.872	147400	56.45	4129	89.15	0.6562	1.187	7681	316.8	675.2	8.882	110900	43.44	8357	132.8	1.739	1.025	2463	156.7	569.2	6.948	52820	21.74	3032	47.25	0.3778	1.189	NA
310	M22	283	158	119	3	374.7	29.84	934.7	11.13	151200	50.74	1309	25.65	0.1272	0.9223	453.6	36.69	1377	16.08	178300	58.15	1831	32.3	0.1139	1.044	282.8	21.23	375.1	4.919	115400	40.73	657.9	16.93	0.1429	0.7395	0	0	445.7	4.173	59920	24.37	445.7	4.173	0	1.667	NA
311	M23	653	333	299	8	6131	310	1454	18.11	108200	54	7585	154.1	1.556	1.061	3810	216.5	2108	25.38	116200	57.34	5918	118.4	1.051	1.123	8871	418.9	793.7	10.83	99780	51.71	9665	198.9	2.154	1	1423	81.66	391.5	5.888	60730	25.97	1815	75.42	0.875	1.25	NA
312	M24	608	155	342	25	89.53	4.666	731.9	9.327	28730	11.8	821.4	11.47	0.02303	0.9194	213.5	7.045	1877	24.61	58520	22.45	2090	27.25	0.02581	0.9806	35.42	2.77	287.4	3.463	15330	7.078	322.8	5.179	0.02047	0.9357	0	0	740.2	9.791	36400	13.7	740.2	9.791	0	0.6	NA
313	N1	395	125	245	15	5741	275.4	952	12.71	96810	55.19	6693	148.1	1.618	0.9468	3346	201.1	1669	22.21	111400	69.18	5015	96.88	0.96	0.976	7121	320.6	627.7	8.382	91510	49.79	7748	177.1	1.976	0.9143	4790	245.1	443.8	6.017	62930	33.9	5234	126.7	1.6	1.4	NA
314	N2	454	200	231	16	8803	354.2	982.3	13.41	113800	65.7	9785	183.8	2.33	1.015	4426	220	1602	21.91	110700	67.97	6028	117.3	1.415	1.11	12320	465.8	502.7	6.874	115900	65	12820	234.7	3.061	0.9307	7688	271.2	411.2	4.409	78760	53.35	8099	150.9	2.125	1.125	NA
315	N3	172	83	78	8	2468	168.4	1336	16.62	79720	37.22	3804	106	0.75	0.8779	1861	129.2	2181	27.73	94510	45.92	4041	95.77	0.5301	1.012	3296	221.6	524.7	6.141	58320	27.38	3821	121.7	0.9872	0.7436	851.6	64.5	124.6	1.374	72530	25.59	976.2	65.87	0.75	0.625	NA
316	N4	288	176	100	4	1825	121	1622	19.59	100600	38.45	3447	69.68	0.9792	1.076	1701	128.5	2376	28.56	129200	49.56	4077	81.74	0.8182	1.142	1848	106.7	448.1	5.551	49480	19.77	2296	47.22	1.14	1.01	673.2	71.71	567	8.463	75610	26.53	1240	37.92	0.75	1	NA
317	N5	296	144	115	24	2445	170	1110	13.06	83960	37.14	3555	76.28	0.7703	1.078	1286	109.2	1475	16.29	90280	41.27	2760	48.61	0.4653	1.139	4056	256.9	623.2	8.861	79700	34.28	4679	110.7	1.2	1.009	2047	136.7	1520	9.757	70100	29.51	3566	40.09	0.7083	1.167	NA
318	N6	171	89	73	7	4480	285.3	1572	20.86	145800	55.33	6052	154.4	1.035	1.023	1428	114.2	2192	29.42	178700	66.23	3620	61.07	0.5618	1.18	8452	511.9	972.8	12.48	114000	45.2	9425	280.5	1.603	0.8493	2507	142.2	389.6	5.38	64960	26.19	2896	34.9	1.143	1.143	NA
319	N7	195	132	60	0	3926	242.4	2040	25.56	116200	54.43	5966	132.1	1.021	1.026	3463	209.3	2587	31.65	126300	58.41	6050	113.8	0.8939	1.083	4583	300.3	926.9	13.24	87120	43.75	5510	154.1	1.267	0.9	0	0	0	0	0	0	0	0	0	0	NA
320	N8	180	106	68	1	7064	354	2045	29.21	157600	69.01	9109	158.8	1.661	1.172	6618	383.3	2405	36.46	167800	73.52	9022	180.4	1.509	1.123	7941	323.3	1479	18.23	130600	57.48	9420	130.5	1.897	1.206	0	0	370	4.933	10660	10.66	370	4.933	0	1	NA
321	N9	215	94	91	13	5693	335.6	1082	15.29	104900	46.16	6776	150.3	1.326	1.153	4179	303	895.5	13.18	104800	47.33	5074	133.1	0.9255	1.16	7890	387.7	1437	19.1	120700	49.98	9327	184.9	1.989	1.154	2359	255.4	481.6	7.667	64810	27.33	2841	116.1	0.5385	1.077	NA
322	N10	90	54	34	1	2648	122.2	1115	15.36	208000	70.79	3763	67.39	0.8556	0.8111	2947	116.6	1582	21.15	299800	91.59	4530	61.49	0.8519	0.8333	1666	123.1	416.3	6.704	66660	39.28	2082	74.39	0.7647	0.7647	0	0	306	6.245	67290	21.17	306	6.245	0	1	NA
323	N11	233	143	71	8	3589	204.9	1888	26.11	136300	52.2	5477	125.5	1	0.9399	1838	133	2428	32.88	149100	56.86	4266	92.27	0.6503	0.9301	6698	341.7	961.2	14.73	111400	43.17	7659	198.2	1.507	0.8732	8800	315.9	276.9	5.411	97220	35.31	9077	173	2.25	0.625	NA
324	N12	255	125	121	7	3749	254.6	1250	17.11	127700	54.91	4999	140.7	1	0.9765	1957	158.8	2142	29.62	168600	68.2	4099	83.25	0.592	1.104	5463	350.5	385.7	4.957	90190	43.17	5849	197.7	1.413	0.843	6763	347.8	620.1	8.507	78670	30.88	7383	191.3	1.286	1.286	NA
325	N13	97	48	41	2	6401	268.3	1833	20.18	154500	55.3	8234	177.7	2.412	0.9485	4852	260.9	2681	30.48	172300	61.89	7533	149.3	1.896	1.042	7356	244.9	707.9	7.371	103500	40.41	8064	185.4	2.878	0.8537	6838	300.9	90.5	2.919	115900	35.84	6929	213	3	0.5	NA
326	N14	360	238	119	2	4416	273.9	2246	27.23	142500	62.28	6662	139.1	1.103	0.9472	4170	259.3	3081	37.24	171600	72.92	7250	135.3	0.9706	0.9748	4729	299.1	623.7	7.694	79260	40.06	5353	145.9	1.353	0.8908	10020	417.4	172.5	5.049	43750	7.234	10190	151.5	1.5	1	NA
327	N15	165	108	55	0	5136	305.4	2083	23.08	134600	63.79	7219	134.7	1.297	1.23	4488	262.4	2701	29.32	147600	68.26	7189	121.9	1.009	1.222	6556	398.5	926.6	11.22	111300	55.85	7482	163.8	1.873	1.255	0	0	0	0	0	0	0	0	0	0	NA
328	N16	431	329	85	1	7977	383.8	1363	17.81	151100	57.61	9340	173.3	1.787	1.167	6357	335.7	1581	20.15	165000	59.89	7938	147.7	1.495	1.231	13950	569.9	681.6	10.75	107200	50.05	14640	270.7	2.824	0.9647	1679	239.9	0	0	17700	17.32	1679	239.9	1	0	NA
329	N17	67	40	21	4	2806	160.3	952.9	12.66	156900	59.11	3759	102.5	0.9104	1.075	2994	165.6	1037	14.62	163700	63.82	4031	125	0.85	1.15	2806	157.6	660.3	8.811	172600	60.3	3466	83.01	1.143	0.8095	1718	114.5	1548	12.57	38060	16.12	3266	17.52	0.5	1.75	NA
330	N18	172	43	110	11	4959	259.8	1031	14.38	116200	52.17	5990	146.3	1.209	0.9593	1834	181.9	1381	21.34	142900	56.78	3215	122.7	0.5814	0.9535	6045	307.3	956.7	12.71	108300	50.66	7002	170.1	1.445	0.9	5444	106.4	743.7	9.339	96480	41.34	6188	52.04	0.9091	1.273	NA
331	N19	348	155	166	13	3541	205	1134	15.1	110200	49.09	4675	110	0.9943	0.9943	2332	153.1	1848	24.17	141900	59.65	4180	76.95	0.5613	1.045	4690	255.7	566	7.783	82120	39.57	5256	142.4	1.337	0.9157	2114	135.8	472.8	8.397	62220	28.94	2587	132.5	1	1	NA
332	N20	289	187	91	7	3094	159.5	1761	22.74	143000	49.64	4855	80.08	0.8304	0.9862	1623	95.15	2354	30.29	167900	56.62	3977	54.74	0.508	1.027	5829	294.9	705.8	9.433	98940	37.44	6534	129.3	1.396	0.8901	7769	163.6	79.57	1.81	56080	20.17	7848	151.4	2	0.2857	NA
333	N21	385	176	180	19	3764	196.6	1052	13.3	102300	39.54	4816	104.3	1.145	0.9221	2492	153.3	1598	19.83	117300	44.39	4090	91.54	0.6193	0.9261	5324	251.9	617.9	8.179	92930	37.19	5942	125.5	1.739	0.8722	2530	156.8	288.1	4.653	69070	26.22	2819	71.07	0.7895	0.7368	NA
334	N22	234	110	108	7	1145	81.2	1146	15.98	94970	31.18	2291	49.33	0.7821	0.9786	1274	98.07	2028	28.92	142200	45.43	3303	58.07	0.7636	1.127	1146	72.49	323.9	4.154	54310	18.83	1470	46.44	0.8704	0.7963	462	40.28	950.7	10.3	44210	20.64	1413	13.28	0.5714	1.429	NA
335	N23	616	294	308	6	6987	315.2	1186	15.58	122600	69.33	8173	157.5	1.701	1.019	3320	180.9	1794	24.23	125400	70.72	5114	100.3	0.9626	0.9796	10700	450.2	628.1	7.682	118700	68.26	11330	214.2	2.438	1.052	1265	113.5	742.5	6.414	61950	28.83	2007	60.5	0.6667	1.167	NA
336	N24	683	199	363	36	218.5	10.39	741.2	9.797	26290	11.29	959.7	12.29	0.03075	0.9619	73.08	3.439	1673	22.3	48970	20.34	1747	23.49	0.03518	0.9698	365.9	16.93	299.5	3.884	15190	6.861	665.4	7.841	0.03306	0.9697	27.31	3.413	938.4	11.88	24600	11.15	965.7	12.33	0.02778	1.056	NA
337	O1	897	419	452	0	7776	363.5	1035	13.05	100900	54.24	8811	195.8	1.718	0.8729	5298	278.2	1356	17.68	106700	57.42	6654	154.4	1.286	0.8544	10070	442.6	742.7	8.923	96190	51.37	10820	234.6	2.119	0.8872	0	0	0	0	0	0	0	0	0	0	NA
338	O2	855	416	420	0	7283	338.6	1233	14.8	100700	54.72	8516	171.4	1.587	0.9673	5063	275.7	1679	20.71	108000	55.66	6742	143.6	1.077	1.05	9444	400.7	823.9	9.374	93360	53.63	10270	196.9	2.05	0.8857	0	0	0	0	0	0	0	0	0	0	NA
339	O3	471	178	282	7	3774	218.2	1162	15.37	88510	47.06	4936	125.8	1.225	0.8408	1991	149.1	1845	26.19	119300	59.27	3836	100.8	0.6742	0.8427	4945	261.1	749.3	8.86	69460	39.91	5694	138.6	1.585	0.8404	2265	137.2	468.3	5.194	76730	32.11	2733	99.04	1.143	0.7143	NA
340	O4	343	173	151	12	404.5	24.25	1194	15.63	107700	51.2	1598	22.54	0.1195	0.8251	615.1	34.43	2036	26.61	145800	67.01	2651	37.06	0.1387	0.9538	149.9	11.23	323.8	4.225	69710	35.04	473.7	7.33	0.07947	0.6755	65.5	8.187	412.1	5.767	38720	18.6	477.6	6.754	0.08333	0.75	NA
341	O5	364	188	167	5	4918	268.9	1200	16.25	119400	51.99	6119	147.5	1.343	0.8571	3435	238.9	1703	22.65	135900	60.28	5138	130.1	0.8777	0.9149	6564	302.3	679.9	9.646	104200	44.13	7244	166.3	1.88	0.7904	8848	440	329	4.963	75770	29.38	9177	234.9	1.6	0.8	NA
342	O6	229	127	91	2	3783	229.3	2265	27.65	163200	62.29	6049	114.9	0.7773	1.031	2589	183.6	3523	41.59	169100	67.32	6113	101.9	0.5197	1.094	5561	290	747.7	11.16	161900	54.8	6309	137.2	1.165	1	3570	595	410	6.523	22790	24.82	3980	80.64	0.5	1	NA
343	O7	369	244	113	0	4654	229.4	2032	25.35	154100	73.57	6685	117.6	1.466	1.005	2976	171.3	2532	31.83	150400	73.59	5509	95.65	0.9918	1.049	7901	355.4	791.2	10.13	140200	67.33	8692	158.8	2.31	0.9469	0	0	0	0	0	0	0	0	0	0	NA
344	O8	148	79	65	0	5497	299.2	1392	16.97	116900	72.72	6888	156.3	1.405	0.9122	4188	239.3	1674	20.77	107900	61.68	5862	148.9	1.063	0.8734	6784	343.6	1077	12.83	126600	67.94	7861	155.8	1.831	0.9846	0	0	0	0	0	0	0	0	0	0	NA
345	O9	644	449	135	0	5939	315.8	2153	27.89	175200	76.42	8092	156.1	1.38	1.073	4720	276	2682	34.22	175100	75.47	7402	141.5	1.049	1.127	9610	417.2	954.6	14.23	187100	83.22	10570	215.6	2.326	0.9481	0	0	0	0	0	0	0	0	0	0	NA
346	O10	251	157	88	0	3834	189.8	2063	25.63	131000	60.12	5897	125.2	0.9681	0.8406	1653	96.53	2875	35.73	157100	68.64	4528	76.78	0.6497	0.9299	7491	339	664	8.407	80330	44.74	8155	211.7	1.477	0.6591	0	0	0	0	0	0	0	0	0	0	NA
347	O11	327	149	157	13	1579	104.7	1332	15.58	79460	37.54	2911	60.55	0.5046	0.8899	1236	78.73	2270	25.27	101100	44.53	3506	54.22	0.396	1.074	1956	130	562.4	7.662	63730	31.25	2519	64.79	0.6178	0.7452	1208	117.1	507.3	5.042	36350	28.87	1716	79.73	0.3077	0.7692	NA
348	O12	232	115	114	2	2815	196.1	1449	19.04	106800	48.44	4264	102.1	0.8233	0.9612	1926	142.4	2303	29.84	128400	57.5	4228	77.8	0.6087	1.017	3785	255.5	614.1	8.438	85930	39.77	4399	129.1	1.061	0.9123	0	0	334.5	5.227	47570	18.47	334.5	5.227	0	0.5	NA
349	O13	487	216	251	7	5508	273.2	1296	16.86	108800	51.7	6804	132.1	1.292	0.9671	2514	143.2	1840	24.56	115800	51.88	4354	73.55	0.6389	1.037	8300	393.7	876.9	10.95	105400	51.97	9177	186.6	1.888	0.9084	887.1	73.56	551.6	9.555	29880	20.02	1439	18.47	0.4286	0.8571	NA
350	O14	656	312	310	20	6355	316.2	1294	17.32	124000	50.76	7649	155.7	1.701	0.936	4489	269.4	2086	27.51	154100	62.1	6575	130.2	1.144	0.9936	8388	373.4	595.3	8.258	101000	41.91	8983	185.6	2.332	0.8484	6843	280.5	460.1	8.18	52110	25.53	7303	126.1	1.35	1.15	NA
351	O15	398	205	181	7	3720	256.1	1046	14.04	82620	43.52	4765	125.4	0.9347	0.9472	3601	251.9	1534	20.36	99940	49.35	5135	117.3	0.8585	1.01	3693	250.6	498.3	7.068	65690	37.91	4191	134.2	1.022	0.8674	4939	214.3	551.3	7.455	39970	23.88	5490	113.5	1.143	1.286	NA
352	O16	427	247	99	38	4433	268.2	1310	16.38	70410	36.3	5743	118.8	1.056	1.183	3094	193.6	1691	21.39	81170	39.33	4785	101.2	0.753	1.182	6835	410.4	872.1	10.82	61100	34.62	7708	167.7	1.657	1.222	3562	263.5	604.2	5.815	39660	23.05	4166	115.6	1.079	1.184	NA
353	O17	454	188	234	19	3689	248.7	1480	19.17	97420	43.92	5169	115.2	1.018	0.9802	1851	141.7	2154	26.42	135000	54.5	4005	69.57	0.5479	1.016	5115	332.4	1064	14.79	72660	36.83	6179	157	1.35	0.9444	3795	257.5	278.3	4.855	52000	29.11	4073	77.71	1.421	1	NA
354	O18	473	230	233	4	4964	251.7	1355	17.09	140500	62.41	6319	147.9	1.178	0.9091	2240	129.6	2184	26.89	174500	73.81	4424	84.14	0.6348	0.9478	7605	367.3	580.9	7.958	101500	50.27	8186	206.6	1.695	0.8798	9450	514.9	260.8	4.281	80440	37.7	9711	300.2	2.75	0.75	NA
355	O19	313	142	148	13	3378	252.5	1123	14.96	127500	51.28	4500	163.7	0.6837	0.9808	1585	114	1850	24.53	169200	62.84	3435	72.66	0.3873	1.092	5195	382.1	508.6	6.954	92990	43.38	5704	255.6	0.9527	0.8243	1716	235	582.1	5.694	62420	25.12	2298	80.15	0.5385	1.231	NA
356	O20	313	162	142	2	6107	329.6	1514	20.34	146200	60.74	7621	154.6	1.246	1.15	3953	263.3	2364	31.91	180400	71.55	6317	124	0.784	1.198	8817	413.1	573.8	7.617	111300	49.05	9390	186.8	1.817	1.085	0	0	769.5	7.037	8880	7.694	769.5	7.037	0	1.5	NA
357	O21	584	335	238	2	3883	216.5	1424	17.61	102800	43.14	5308	110.3	1.12	1.014	2893	176.5	2020	24.99	119600	48.99	4913	88	0.7731	1.107	5341	271.7	617.7	7.731	81440	35.84	5959	141.6	1.634	0.8613	0	0	215	2.945	59670	18.39	215	2.945	0	1	NA
358	O22	552	362	174	3	501.3	36.75	1402	16.73	112300	46.92	1903	33.22	0.1395	1.031	329.9	30.25	1876	22.32	124600	51.38	2206	31.66	0.1298	1.099	863.8	51.98	510.1	6.219	80950	36.21	1374	38.11	0.1437	0.908	0	0	238.7	4.456	38190	18.48	238.7	4.456	0	1	NA
359	O23	950	439	450	36	6401	298.8	1188	15.74	88960	54.81	7590	146	1.566	0.9989	4831	232.7	1635	21.28	93540	59.99	6466	115.2	1.123	1.048	8056	364.8	842.1	11.58	86210	51.49	8899	178.3	2.022	0.9511	5291	265.1	546.9	5.282	72930	35.47	5838	107.4	1.528	1.056	NA
360	O24	800	284	400	31	107.1	7.308	889	11.93	34240	14.68	996.1	14.87	0.01875	0.9487	249.5	17.89	1910	25.67	64430	25.92	2159	32.33	0.02465	0.9718	30.58	1.514	288.4	3.92	16410	7.993	319	5.027	0.015	0.97	0	0	1103	12.07	20780	11.18	1103	12.07	0	1.258	NA
361	P1	767	476	262	4	6161	329.9	1004	13.95	93470	48.67	7165	185.5	1.425	0.7588	4501	297.1	1248	18.23	92180	47.87	5749	160.9	1.027	0.8004	8656	391.3	608.5	6.896	92120	48.19	9264	230.7	2.004	0.6985	3357	173.1	102.8	1.581	50180	19.67	3460	174.7	1	0.25	NA
362	P2	775	512	233	0	6206	319.4	1389	17.66	102700	54.17	7596	156.3	1.259	0.9097	4111	237	1590	21.23	99320	52.31	5701	115.9	0.8535	0.9375	10090	476.8	1087	11.58	107900	56.71	11180	231.3	1.996	0.8884	0	0	0	0	0	0	0	0	0	0	NA
363	P3	211	87	117	4	3989	218.1	981.5	12.77	87770	43.83	4971	105.1	1.166	0.891	2371	139.1	1543	20.44	94280	48.69	3914	80.26	0.8046	0.9195	5363	280.7	592.1	7.256	83730	41.19	5955	127.4	1.487	0.8632	1693	241.8	788	14.71	88230	28.46	2481	43.72	0.25	1.5	NA
364	P4	234	140	81	6	3111	198.5	1425	19.69	114900	49.45	4536	108.3	0.953	0.9274	2301	154.2	1630	21.37	124000	52.95	3931	76.98	0.7143	1.064	4348	268.9	1195	18.62	106900	45.67	5543	161.2	1.346	0.7284	6457	261	1028	11.33	47670	31.9	7484	88.41	1.5	1.167	NA
365	P5	369	139	202	10	4819	260.8	729.4	9.406	80660	38.39	5549	153.5	1.271	0.8076	1929	171.6	1079	13.83	94820	40.91	3008	98.06	0.5396	0.8993	7030	339.9	510	6.831	72150	36.7	7540	200.7	1.842	0.7426	3123	145.8	595.7	7.614	49920	22.67	3718	119.6	0.9	0.7	NA
366	P6	409	173	211	8	4726	247.8	892.2	11.57	71810	38.24	5618	132.2	1.132	0.8533	2655	158	1199	15.18	77540	41.7	3854	83.88	0.6416	0.8728	6460	317.9	689.3	9.28	69550	36.53	7149	177.8	1.545	0.8294	3649	196.2	206	4.552	48840	21.25	3855	76.82	1	0.75	NA
367	P7	559	320	199	0	5124	282.2	1095	14.59	90550	45.67	6219	150.2	1.224	0.8497	3897	223.2	1338	18.05	100900	49.23	5235	132.1	0.9781	0.8531	7104	379.9	739.7	9.448	80110	41.38	7844	176.3	1.598	0.8693	0	0	0	0	0	0	0	0	0	0	NA
368	P8	449	268	152	0	5390	254.7	913.6	12.15	109800	54.66	6304	135.3	1.339	0.833	3954	215.1	1051	14.95	121600	57.79	5005	112	1.034	0.8358	7429	313.7	735.5	7.952	85600	48.5	8164	173.5	1.822	0.8224	0	0	0	0	0	0	0	0	0	0	NA
369	P9	440	333	54	0	6921	306.8	1487	18.89	134200	78.07	8408	156	1.552	1.036	6223	290.1	1531	19.71	129300	72.11	7755	150.1	1.348	1.039	9606	344.6	1026	14.16	145300	85.2	10630	197.7	2.296	1.074	0	0	0	0	0	0	0	0	0	0	NA
370	P10	346	283	33	0	6474	306.4	1764	23.05	125800	65.34	8238	153.8	1.416	0.9769	5252	264.2	1735	22.91	119700	63.16	6988	124.5	1.24	0.9859	13710	538.4	1062	10.84	204300	86.44	14770	350.5	2.788	0.9394	0	0	0	0	0	0	0	0	0	0	NA
371	P11	305	126	150	15	4083	232.2	840.1	11.15	94300	45.03	4923	103.4	1.134	0.9246	2864	176.6	1276	16.61	108900	52.83	4140	98.78	0.7619	0.9524	5347	284.1	465.9	6.568	90530	42.18	5812	111.1	1.56	0.82	3611	216.7	705.5	7.849	37560	23.15	4317	82.5	0.5333	1.267	NA
372	P12	365	171	178	7	5438	281.2	930.6	12.21	108600	48.27	6369	136.7	1.293	0.9534	2943	189.2	1410	17.78	112400	50.8	4353	95.63	0.9006	1.076	7915	375.6	498.6	7.054	102300	45.94	8414	180	1.685	0.8483	5675	174.1	633.6	14.22	168800	57.83	6308	142.3	1.429	0.5714	NA
373	P13	242	119	111	5	4067	196.9	1186	15.86	91080	45.64	5253	99.97	1.132	0.9421	2036	117.6	1537	18.7	89920	46.68	3573	65.08	0.6134	0.9076	6370	284.7	890.1	13.68	98500	46	7260	141.5	1.703	0.964	279	46.5	554.4	12.36	28030	22.21	833.4	20.61	0.2	0.8	NA
