Object.ID	Circularity.Factor	Mean.Intensity.EGFP	Mean.Intensity.mCherry	Area	Position	P.bodies..Counts	P.bodies.nuc..Counts	total_intensity_DCP1A_P.bodies	mean_intensity_DCP1A_P.bodies	total_intensity_DCP1A_P.bodies.nuc	mean_intensity_DCP1A_P.bodies.nuc	total_intensity_DCP1A_cytoplasm	mean_intensity_DCP1A_cytoplasm	total_intensity_P.bodies_all	mean_intensity_P.bodies_all	P.bodies_count	P.bodies.nuc_count	Parent.Object.ID..Well.	Parent.Trace.ID	black	green	nuclei	red
1414	1.0995081	336.85031	255.6642	1757	5	8	1	23197	446.09615	1057	21.14	117517	82.99223	24254	240.13861	8	1	1	-1	0	0	1	1
195492	1.1010205	431.08725	320.53912	1662	7	4	2	15205	330.54348	1415	23.583333	104777	64.637261	16620	158.28571	4	2	345	-1	0	0	1	0
12186	1.0081429	360.84491	173.27548	1786	9	0	2	0	0	2601	27.09375	256414	77.443068	2601	27.09375	0	2	22	-1	0	1	1	0
71205	1.0752232	301.23984	178.06931	909	5	0	1	0	0	759	15.18	8431	10.269184	759	15.18	0	1	139	-1	0	1	1	0
10148	1.0608996	272.22675	247.68022	1967	8	3	2	30050	969.35484	668.00002	5.8596493	69418.002	43.8799	30718	213.31944	3	2	18	-1	0	0	1	1
91143	1.0238411	309.00873	168.80904	1262	9	4	1	5963	238.52	340	7.9069767	134799	49.322722	6303	94.074627	4	1	155	-1	0	1	1	0
156715	1.0436653	342.38608	180.88048	1163	4	0	1	0	0	2122	45.148936	244216	55.910256	2122	45.148936	0	1	261	-1	0	1	1	0
147044	1.1200256	251.37585	212.64758	1450	5	0	0	0	0	0	0	45984	44.343298	0	0	0	0	241	-1	0	0	1	1
187381	1.0793485	565.38416	176.36842	1843	1	1	1	757	75.7	333	9.7941176	71568	51.303226	1090	25.348837	1	1	319	-1	0	1	1	0
156135	1.0784663	258.44986	212.94427	987	1	0	1	0	0	471	7.2461538	12281	19.159126	471	7.2461538	0	1	260	-1	0	0	1	1
172529	1.0345907	274.59186	268.38782	1230	6	3	2	5697	258.95455	723	7.1584158	39103	38.986042	6420	52.622951	3	2	264	-1	0	0	1	1
160700	1.0564168	623.89117	187.83324	3244	2	0	1	0	0	1764	50.4	115353	61.488806	1764	50.4	0	1	286	-1	0	0	0	0
31689	1.1036818	280.87592	254.63596	1346	4	2	1	2748	101.77778	617	8.942029	167334	47.269492	3365	35.421053	2	1	56	-1	0	0	1	1
153179	1.0258609	315.00058	212.06689	1719	2	1	0	648	81	0	0	25774	24.902415	648	81	1	0	255	-1	0	0	1	1
39881	1.071195	399.37405	220.22379	1564	8	2	1	33139	1227.3704	252.99998	4.5999997	199286	219.47797	33392	412.24691	2	1	70	-1	0	0	1	1
28807	1.0858733	506.43503	193.6225	3094	9	0	2	0	0	828.00003	13.142858	242318	204.14322	828.00003	13.142858	0	2	49	-1	0	0	0	0
202166	1.014956	342.69193	173.56369	1201	5	0	1	0	0	648	23.142857	150902	64.904086	648	23.142857	0	1	358	-1	0	1	1	0
16782	1.0256629	408.7695	179.82626	1462	1	2	1	5728	409.14286	340	7.3913043	207277	59.493972	6068	102.84746	2	1	41	-1	0	1	1	0
68472	1.0627357	256.71313	194.4442	3566	7	0	5	0	0	1170	6.4640884	12625	8.7491337	1170	6.4640884	0	5	143	-1	0	0	0	0
14500	1.0676456	460.69055	176.16179	3251	8	3	7	5574	348.375	13219	25.568665	917000	168.7523	18793	35.325188	3	7	46	-1	0	0	0	0
37513	1.1913556	360.23953	226.2948	597	9	1	0	621	88.714286	0	0	29658	44.133929	621	88.714286	1	0	67	-1	0	0	0	0
94829	1.1009635	298.39224	168.59744	1647	5	5	2	12674	452.64286	3260	39.277108	38788	33.875983	15934	144.85455	5	2	162	-1	0	1	1	0
187362	1.1637717	459.03268	191.41751	4558	9	0	2	0	0	1609	14.761468	185479	41.484902	1609	14.761468	0	2	320	-1	0	0	0	0
66584	1.0237577	408.27487	177.30092	1728	9	2	3	3658	166.27273	4602	46.484848	352815	97.94975	8260	68.833333	2	3	118	-1	0	1	1	0
82082	1.1456999	385.13525	225.04678	3527	1	11	2	35375	294.79167	647	8.8630137	244442	108.4	36022	187.61458	11	2	120	-1	0	0	0	0
200305	1.0303299	366.6474	177.2563	1506	6	3	1	15956	759.80952	158	5.2666667	71081	48.092693	16114	322.28	3	1	355	-1	0	1	1	0
80068	1.1932888	254.4328	209.86559	1049	1	0	0	0	0	0	0	2756	7.2335958	0	0	0	0	122	-1	0	0	0	0
180379	1.0933539	387.52008	187.18393	1892	6	2	0	35900	1329.6296	0	0	267178	70.18072	35900	1329.6296	2	0	310	-1	0	1	1	0
134124	1.1073221	276.53671	253.67949	3173	6	3	2	14311	572.44	682	7.1041667	260353	40.484062	14993	124.94167	3	2	235	-1	0	0	0	0
147557	1.0890505	285.31973	182.55615	1104	8	2	1	11124	618	258	5.8636364	55555	65.128957	11382	186.59016	2	1	241	-1	0	0	1	0
14063	1.0466247	362.68637	243.68152	2468	3	10	0	56001	835.83582	0	0	530267	115.85471	56001	835.83582	10	0	46	-1	0	0	1	1
203331	1.0197453	300.74854	181.76462	2052	5	0	2	0	0	425	6.640625	158774	40.995094	425	6.640625	0	2	359	-1	0	1	1	0
27602	1.0341138	307.1286	240.09563	1213	9	4	1	13777	574.04167	277	5.893617	206493	83.634265	14054	200.77143	4	1	48	-1	0	0	1	1
179945	1.0221075	427.18137	173.59068	1417	7	0	1	0	0	679	8.9342105	36637	40.707778	679	8.9342105	0	1	309	-1	0	1	1	0
35935	1.0984255	352.62885	171.19893	749	5	0	1	0	0	918	15.04918	23077	31.482947	918	15.04918	0	1	64	-1	0	1	1	0
63459	1.0757803	386.22784	275.03091	970	9	0	1	0	0	15736.999	38.012075	36059	48.078667	15736.999	38.012075	0	1	113	-1	0	0	1	1
155584	1.1677562	835.32697	173.86403	2508	8	4	3	10807	491.22727	7813	24.646688	404389	200.29173	18620	55.088757	4	3	258	-1	0	0	0	0
178137	1.0488869	381.39163	174.90233	1075	9	1	1	552	78.857143	2318	37.387097	56161	42.449735	2870	42.205882	1	1	304	-1	0	1	1	0
149929	1.0688116	339.29367	170.4549	1563	4	0	3	0	0	4807	43.306306	169463	54.08969	4807	43.306306	0	3	248	-1	0	1	1	0
168125	1.0843873	366.74463	231.32813	8439	9	0	1	0	0	560	9.3333333	1023920	82.547565	560	9.3333333	0	1	272	-1	0	0	0	0
11697	1.0310763	296.75223	163.8952	1231	3	0	2	0	0	2540.9999	22.687499	50113	29.28872	2540.9999	22.687499	0	2	22	-1	0	1	1	0
183622	1.0782761	344.811	175.79024	1926	6	0	1	0	0	245	9.0740741	282554	84.093452	245	9.0740741	0	1	332	-1	0	1	1	0
34039	1.025897	448.60773	179.16757	1295	4	0	1	0	0	1753	58.433333	56654	37.97185	1753	58.433333	0	1	61	-1	0	1	1	0
113393	1.0757806	405.36148	173.7141	1469	3	2	1	26289	1752.6	7411.9995	86.186041	65178	41.915113	33701	337.01	2	1	169	-1	0	1	1	0
180720	1.0899138	422.44626	172.3911	2066	9	5	1	9706	262.32432	1986	40.530612	729458	124.0153	11692	137.55294	5	1	310	-1	0	1	1	0
8078	1.0494186	338.81274	215.07373	5832	1	5	5	17931	284.61905	6533	29.035556	166946	40.788175	24464	85.240418	5	5	14	-1	0	0	0	0
84560	1.0433602	349.73926	192.60736	1630	2	3	4	4826	229.80952	826	7.7924528	107141	54.524682	5652	44.857143	3	4	145	-1	0	0	1	0
108743	1.1232896	277.30496	169.29079	846	3	0	0	0	0	0	0	4405	6.5453195	0	0	0	0	177	-1	0	1	1	0
39053	1.1945336	372.30936	200.01402	5133	1	2	2	13731	858.1875	1437	13.183486	83265.998	32.538491	15168	122.32258	2	2	70	-1	0	0	0	0
200898	1.0509503	486.25351	179.18414	1716	7	1	2	5761	720.125	3662	49.486486	85810	62.361919	9423	116.33333	1	2	356	-1	0	1	1	0
156271	1.0470945	257.73984	195.93362	1130	3	2	0	3677.0002	204.27779	0	0	34275	28.071253	3677.0002	204.27779	2	0	260	-1	0	0	1	1
